Rainfall - (MM), Year, Statistics, Country, ISO3
7.3893, 1950, Aug Average, Afghanistan, AFG
1.27421, 1950, Sep Average, Afghanistan, AFG
5.00946, 1950, Oct Average, Afghanistan, AFG
13.3042, 1950, Nov Average, Afghanistan, AFG
4.7695, 1950, Dec Average, Afghanistan, AFG
36.8694, 1951, Jan Average, Afghanistan, AFG
58.3959, 1951, Feb Average, Afghanistan, AFG
68.0041, 1951, Mar Average, Afghanistan, AFG
34.8423, 1951, Apr Average, Afghanistan, AFG
49.0247, 1951, May Average, Afghanistan, AFG
2.27881, 1951, Jun Average, Afghanistan, AFG
4.49808, 1951, Jul Average, Afghanistan, AFG
5.89144, 1951, Aug Average, Afghanistan, AFG
0.78794, 1951, Sep Average, Afghanistan, AFG
16.3874, 1951, Oct Average, Afghanistan, AFG
12.7168, 1951, Nov Average, Afghanistan, AFG
25.2843, 1951, Dec Average, Afghanistan, AFG
49.8881, 1952, Jan Average, Afghanistan, AFG
75.7385, 1952, Feb Average, Afghanistan, AFG
54.5141, 1952, Mar Average, Afghanistan, AFG
41.617, 1952, Apr Average, Afghanistan, AFG
25.0575, 1952, May Average, Afghanistan, AFG
4.60367, 1952, Jun Average, Afghanistan, AFG
7.58063, 1952, Jul Average, Afghanistan, AFG
4.18106, 1952, Aug Average, Afghanistan, AFG
2.00176, 1952, Sep Average, Afghanistan, AFG
1.26568, 1952, Oct Average, Afghanistan, AFG
8.66169, 1952, Nov Average, Afghanistan, AFG
25.9252, 1952, Dec Average, Afghanistan, AFG
39.178, 1953, Jan Average, Afghanistan, AFG
63.3205, 1953, Feb Average, Afghanistan, AFG
65.3473, 1953, Mar Average, Afghanistan, AFG
41.9509, 1953, Apr Average, Afghanistan, AFG
31.977, 1953, May Average, Afghanistan, AFG
12.1085, 1953, Jun Average, Afghanistan, AFG
6.65991, 1953, Jul Average, Afghanistan, AFG
7.81714, 1953, Aug Average, Afghanistan, AFG
3.8865, 1953, Sep Average, Afghanistan, AFG
15.1789, 1953, Oct Average, Afghanistan, AFG
20.8248, 1953, Nov Average, Afghanistan, AFG
44.01, 1953, Dec Average, Afghanistan, AFG
70.5737, 1954, Jan Average, Afghanistan, AFG
87.0755, 1954, Feb Average, Afghanistan, AFG
59.7543, 1954, Mar Average, Afghanistan, AFG
38.1906, 1954, Apr Average, Afghanistan, AFG
9.26016, 1954, May Average, Afghanistan, AFG
4.48438, 1954, Jun Average, Afghanistan, AFG
10.02, 1954, Jul Average, Afghanistan, AFG
4.04104, 1954, Aug Average, Afghanistan, AFG
2.1761, 1954, Sep Average, Afghanistan, AFG
5.8499, 1954, Oct Average, Afghanistan, AFG
20.0326, 1954, Nov Average, Afghanistan, AFG
17.1694, 1954, Dec Average, Afghanistan, AFG
27.5053, 1955, Jan Average, Afghanistan, AFG
13.872, 1955, Feb Average, Afghanistan, AFG
83.7015, 1955, Mar Average, Afghanistan, AFG
21.5333, 1955, Apr Average, Afghanistan, AFG
44.5642, 1955, May Average, Afghanistan, AFG
6.66168, 1955, Jun Average, Afghanistan, AFG
9.26368, 1955, Jul Average, Afghanistan, AFG
10.8539, 1955, Aug Average, Afghanistan, AFG
3.58925, 1955, Sep Average, Afghanistan, AFG
2.63333, 1955, Oct Average, Afghanistan, AFG
3.53828, 1955, Nov Average, Afghanistan, AFG
42.7562, 1955, Dec Average, Afghanistan, AFG
43.1871, 1956, Jan Average, Afghanistan, AFG
50.6053, 1956, Feb Average, Afghanistan, AFG
107.068, 1956, Mar Average, Afghanistan, AFG
70.654, 1956, Apr Average, Afghanistan, AFG
3.0521, 1956, May Average, Afghanistan, AFG
8.90877, 1956, Jun Average, Afghanistan, AFG
18.7447, 1956, Jul Average, Afghanistan, AFG
8.37983, 1956, Aug Average, Afghanistan, AFG
4.03021, 1956, Sep Average, Afghanistan, AFG
15.4257, 1956, Oct Average, Afghanistan, AFG
6.41019, 1956, Nov Average, Afghanistan, AFG
25.1193, 1956, Dec Average, Afghanistan, AFG
100.48, 1957, Jan Average, Afghanistan, AFG
44.1893, 1957, Feb Average, Afghanistan, AFG
76.6281, 1957, Mar Average, Afghanistan, AFG
70.7395, 1957, Apr Average, Afghanistan, AFG
28.9383, 1957, May Average, Afghanistan, AFG
8.80088, 1957, Jun Average, Afghanistan, AFG
4.96089, 1957, Jul Average, Afghanistan, AFG
3.43213, 1957, Aug Average, Afghanistan, AFG
1.88114, 1957, Sep Average, Afghanistan, AFG
17.0879, 1957, Oct Average, Afghanistan, AFG
49.1483, 1957, Nov Average, Afghanistan, AFG
54.8755, 1957, Dec Average, Afghanistan, AFG
55.6582, 1958, Jan Average, Afghanistan, AFG
20.994, 1958, Feb Average, Afghanistan, AFG
49.746, 1958, Mar Average, Afghanistan, AFG
47.3153, 1958, Apr Average, Afghanistan, AFG
30.0201, 1958, May Average, Afghanistan, AFG
4.1259, 1958, Jun Average, Afghanistan, AFG
6.58937, 1958, Jul Average, Afghanistan, AFG
5.06629, 1958, Aug Average, Afghanistan, AFG
5.94992, 1958, Sep Average, Afghanistan, AFG
4.2271, 1958, Oct Average, Afghanistan, AFG
13.5354, 1958, Nov Average, Afghanistan, AFG
57.8008, 1958, Dec Average, Afghanistan, AFG
52.7754, 1959, Jan Average, Afghanistan, AFG
66.7154, 1959, Feb Average, Afghanistan, AFG
53.6687, 1959, Mar Average, Afghanistan, AFG
38.4097, 1959, Apr Average, Afghanistan, AFG
40.1716, 1959, May Average, Afghanistan, AFG
2.42556, 1959, Jun Average, Afghanistan, AFG
11.2408, 1959, Jul Average, Afghanistan, AFG
6.75442, 1959, Aug Average, Afghanistan, AFG
4.05593, 1959, Sep Average, Afghanistan, AFG
4.28485, 1959, Oct Average, Afghanistan, AFG
32.4521, 1959, Nov Average, Afghanistan, AFG
43.3062, 1959, Dec Average, Afghanistan, AFG
42.3167, 1960, Jan Average, Afghanistan, AFG
37.5941, 1960, Feb Average, Afghanistan, AFG
92.4596, 1960, Mar Average, Afghanistan, AFG
77.6666, 1960, Apr Average, Afghanistan, AFG
39.2694, 1960, May Average, Afghanistan, AFG
3.13506, 1960, Jun Average, Afghanistan, AFG
8.70063, 1960, Jul Average, Afghanistan, AFG
5.91567, 1960, Aug Average, Afghanistan, AFG
5.6887, 1960, Sep Average, Afghanistan, AFG
3.06278, 1960, Oct Average, Afghanistan, AFG
27.6024, 1960, Nov Average, Afghanistan, AFG
21.8538, 1960, Dec Average, Afghanistan, AFG
146.031, 1931, Jan Average, Albania, ALB
145.275, 1931, Feb Average, Albania, ALB
85.1405, 1931, Mar Average, Albania, ALB
151.278, 1931, Apr Average, Albania, ALB
67.891, 1931, May Average, Albania, ALB
22.5709, 1931, Jun Average, Albania, ALB
18.036, 1931, Jul Average, Albania, ALB
8.73219, 1931, Aug Average, Albania, ALB
84.4091, 1931, Sep Average, Albania, ALB
104.723, 1931, Oct Average, Albania, ALB
